id,domain,canonical_term,aliases,related_diagnosis_codes,related_issue_types,related_source_areas,search_boost_keywords,notes
"RKA020","diagnosis_code","N83","N83;N83 관련 표현;N83 쟁점;N83 보험금;N83 부지급;N83 분쟁","N83","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;N83;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA021","disease_name","요추증","요추증;요추증 관련 표현;요추증 쟁점;요추증 보험금;요추증 부지급;요추증 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;요추증;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA022","disease_name","추간판탈출증","추간판탈출증;추간판탈출증 관련 표현;추간판탈출증 쟁점;추간판탈출증 보험금;추간판탈출증 부지급;추간판탈출증 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;추간판탈출증;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA023","disease_name","요통","요통;요통 관련 표현;요통 쟁점;요통 보험금;요통 부지급;요통 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;요통;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA024","disease_name","고혈압","고혈압;고혈압 관련 표현;고혈압 쟁점;고혈압 보험금;고혈압 부지급;고혈압 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;고혈압;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA025","disease_name","당뇨","당뇨;당뇨 관련 표현;당뇨 쟁점;당뇨 보험금;당뇨 부지급;당뇨 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;당뇨;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA026","disease_name","갑상선암","갑상선암;갑상선암 관련 표현;갑상선암 쟁점;갑상선암 보험금;갑상선암 부지급;갑상선암 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;갑상선암;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA027","disease_name","경계성종양","경계성종양;경계성종양 관련 표현;경계성종양 쟁점;경계성종양 보험금;경계성종양 부지급;경계성종양 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;경계성종양;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA028","disease_name","제자리암","제자리암;제자리암 관련 표현;제자리암 쟁점;제자리암 보험금;제자리암 부지급;제자리암 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;제자리암;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA029","disease_name","급성심근경색","급성심근경색;급성심근경색 관련 표현;급성심근경색 쟁점;급성심근경색 보험금;급성심근경색 부지급;급성심근경색 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;급성심근경색;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA030","disease_name","뇌경색","뇌경색;뇌경색 관련 표현;뇌경색 쟁점;뇌경색 보험금;뇌경색 부지급;뇌경색 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;뇌경색;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA031","disease_name","뇌출혈","뇌출혈;뇌출혈 관련 표현;뇌출혈 쟁점;뇌출혈 보험금;뇌출혈 부지급;뇌출혈 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;뇌출혈;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA032","disease_name","반월상연골파열","반월상연골파열;반월상연골파열 관련 표현;반월상연골파열 쟁점;반월상연골파열 보험금;반월상연골파열 부지급;반월상연골파열 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;반월상연골파열;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA033","disease_name","회전근개파열","회전근개파열;회전근개파열 관련 표현;회전근개파열 쟁점;회전근개파열 보험금;회전근개파열 부지급;회전근개파열 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;회전근개파열;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA034","disease_name","압박골절","압박골절;압박골절 관련 표현;압박골절 쟁점;압박골절 보험금;압박골절 부지급;압박골절 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;압박골절;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA035","disease_name","난청","난청;난청 관련 표현;난청 쟁점;난청 보험금;난청 부지급;난청 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;난청;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA036","disease_name","복합부위통증증후군","복합부위통증증후군;복합부위통증증후군 관련 표현;복합부위통증증후군 쟁점;복합부위통증증후군 보험금;복합부위통증증후군 부지급;복합부위통증증후군 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;복합부위통증증후군;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA037","disease_name","위염","위염;위염 관련 표현;위염 쟁점;위염 보험금;위염 부지급;위염 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;위염;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA038","disease_name","B형간염","B형간염;B형간염 관련 표현;B형간염 쟁점;B형간염 보험금;B형간염 부지급;B형간염 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;B형간염;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA039","disease_name","전립선비대증","전립선비대증;전립선비대증 관련 표현;전립선비대증 쟁점;전립선비대증 보험금;전립선비대증 부지급;전립선비대증 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;전립선비대증;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA040","disease_name","난소낭종","난소낭종;난소낭종 관련 표현;난소낭종 쟁점;난소낭종 보험금;난소낭종 부지급;난소낭종 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;난소낭종;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA041","customer_expression","허리 뻐근함","허리 뻐근함;허리 뻐근함 관련 표현;허리 뻐근함 쟁점;허리 뻐근함 보험금;허리 뻐근함 부지급;허리 뻐근함 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;허리 뻐근함;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA042","customer_expression","허리디스크 의심","허리디스크 의심;허리디스크 의심 관련 표현;허리디스크 의심 쟁점;허리디스크 의심 보험금;허리디스크 의심 부지급;허리디스크 의심 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;허리디스크 의심;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA043","customer_expression","혈압이 높다","혈압이 높다;혈압이 높다 관련 표현;혈압이 높다 쟁점;혈압이 높다 보험금;혈압이 높다 부지급;혈압이 높다 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;혈압이 높다;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA044","customer_expression","당 수치 높음","당 수치 높음;당 수치 높음 관련 표현;당 수치 높음 쟁점;당 수치 높음 보험금;당 수치 높음 부지급;당 수치 높음 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;당 수치 높음;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA045","customer_expression","목에 혹","목에 혹;목에 혹 관련 표현;목에 혹 쟁점;목에 혹 보험금;목에 혹 부지급;목에 혹 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;목에 혹;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA046","customer_expression","암 전 단계","암 전 단계;암 전 단계 관련 표현;암 전 단계 쟁점;암 전 단계 보험금;암 전 단계 부지급;암 전 단계 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;암 전 단계;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA047","customer_expression","상피내암","상피내암;상피내암 관련 표현;상피내암 쟁점;상피내암 보험금;상피내암 부지급;상피내암 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;상피내암;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA048","customer_expression","심장마비","심장마비;심장마비 관련 표현;심장마비 쟁점;심장마비 보험금;심장마비 부지급;심장마비 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;심장마비;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA049","customer_expression","뇌졸중","뇌졸중;뇌졸중 관련 표현;뇌졸중 쟁점;뇌졸중 보험금;뇌졸중 부지급;뇌졸중 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;뇌졸중;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA050","customer_expression","머리 출혈","머리 출혈;머리 출혈 관련 표현;머리 출혈 쟁점;머리 출혈 보험금;머리 출혈 부지급;머리 출혈 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;머리 출혈;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA051","customer_expression","무릎이 흔들림","무릎이 흔들림;무릎이 흔들림 관련 표현;무릎이 흔들림 쟁점;무릎이 흔들림 보험금;무릎이 흔들림 부지급;무릎이 흔들림 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;무릎이 흔들림;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA052","customer_expression","어깨 힘줄 파열","어깨 힘줄 파열;어깨 힘줄 파열 관련 표현;어깨 힘줄 파열 쟁점;어깨 힘줄 파열 보험금;어깨 힘줄 파열 부지급;어깨 힘줄 파열 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;어깨 힘줄 파열;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA053","customer_expression","척추가 주저앉음","척추가 주저앉음;척추가 주저앉음 관련 표현;척추가 주저앉음 쟁점;척추가 주저앉음 보험금;척추가 주저앉음 부지급;척추가 주저앉음 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;척추가 주저앉음;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA054","customer_expression","귀가 잘 안 들림","귀가 잘 안 들림;귀가 잘 안 들림 관련 표현;귀가 잘 안 들림 쟁점;귀가 잘 안 들림 보험금;귀가 잘 안 들림 부지급;귀가 잘 안 들림 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;귀가 잘 안 들림;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA055","customer_expression","손이 타는 듯 아픔","손이 타는 듯 아픔;손이 타는 듯 아픔 관련 표현;손이 타는 듯 아픔 쟁점;손이 타는 듯 아픔 보험금;손이 타는 듯 아픔 부지급;손이 타는 듯 아픔 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;손이 타는 듯 아픔;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA056","customer_expression","속쓰림","속쓰림;속쓰림 관련 표현;속쓰림 쟁점;속쓰림 보험금;속쓰림 부지급;속쓰림 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;속쓰림;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA057","customer_expression","간염 보균","간염 보균;간염 보균 관련 표현;간염 보균 쟁점;간염 보균 보험금;간염 보균 부지급;간염 보균 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;간염 보균;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA058","customer_expression","소변이 자주 마려움","소변이 자주 마려움;소변이 자주 마려움 관련 표현;소변이 자주 마려움 쟁점;소변이 자주 마려움 보험금;소변이 자주 마려움 부지급;소변이 자주 마려움 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;소변이 자주 마려움;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA059","customer_expression","난소 물혹","난소 물혹;난소 물혹 관련 표현;난소 물혹 쟁점;난소 물혹 보험금;난소 물혹 부지급;난소 물혹 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;난소 물혹;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA060","customer_expression","검진 재검","검진 재검;검진 재검 관련 표현;검진 재검 쟁점;검진 재검 보험금;검진 재검 부지급;검진 재검 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;검진 재검;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA061","insurer_expression","중요한 사항 미고지","중요한 사항 미고지;중요한 사항 미고지 관련 표현;중요한 사항 미고지 쟁점;중요한 사항 미고지 보험금;중요한 사항 미고지 부지급;중요한 사항 미고지 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;중요한 사항 미고지;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA062","insurer_expression","고의 또는 중대한 과실","고의 또는 중대한 과실;고의 또는 중대한 과실 관련 표현;고의 또는 중대한 과실 쟁점;고의 또는 중대한 과실 보험금;고의 또는 중대한 과실 부지급;고의 또는 중대한 과실 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;고의 또는 중대한 과실;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA063","insurer_expression","인과관계 있음","인과관계 있음;인과관계 있음 관련 표현;인과관계 있음 쟁점;인과관계 있음 보험금;인과관계 있음 부지급;인과관계 있음 분쟁","","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;인과관계 있음;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
