id,category,sub_category,query,search_scope,expected_issue_types,expected_source_keywords,fetch_status,source_status,fetched_count,imported_count,notes
"PST011","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","질병 치료력 고지의무 보험금","precedent","계약전 알릴의무;중요한 사항;중대한 과실","질병;치료력;고지의무;보험금;계약전 알릴의무;중요한 사항;중대한 과실","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST012","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험 고지의무 인수심사 중요사항","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험;고지의무;인수심사;중요사항;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=3 list_only=1 duplicates=1 total_limit_skipped=0"
"PST013","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험계약 해지 고지의무 제척기간","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험계약;해지;고지의무;제척기간;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=1 list_only=3 duplicates=1 total_limit_skipped=0"
"PST014","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","고지의무 위반 보험금 지급 인과관계","precedent","계약전 알릴의무;중요한 사항;중대한 과실","고지의무;위반;보험금;지급;인과관계;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST015","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험 고지의무 경미한 질병 통원","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험;고지의무;경미한;질병;통원;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=4 list_only=1 duplicates=0 total_limit_skipped=0"
"PST016","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","이륜차 운전 통지의무 보험","precedent","통지의무;위험변경;직업변경","이륜차;운전;통지의무;보험;위험변경;직업변경","fetched","list_or_fulltext_checked","4","4","results=4 imported=4 fulltext=4 list_only=0 duplicates=0 total_limit_skipped=0"
"PST017","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","보험 직업변경 통지의무 위험변경","precedent","통지의무;위험변경;직업변경","보험;직업변경;통지의무;위험변경","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST018","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","상해보험 직업 변경 보험금 감액","precedent","통지의무;위험변경;직업변경","상해보험;직업;변경;보험금;감액;통지의무;위험변경;직업변경","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST019","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","보험계약 위험변경 통지의무 해지","precedent","통지의무;위험변경;직업변경","보험계약;위험변경;통지의무;해지;직업변경","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST020","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","오토바이 운전 통지의무 상해보험","precedent","통지의무;위험변경;직업변경","오토바이;운전;통지의무;상해보험;위험변경;직업변경","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST021","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","배달업 직업변경 보험 통지의무","precedent","통지의무;위험변경;직업변경","배달업;직업변경;보험;통지의무;위험변경","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST022","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","상해보험 위험 증가 통지의무","precedent","통지의무;위험변경;직업변경","상해보험;위험;증가;통지의무;위험변경;직업변경","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST023","통지의무 / 직업변경 / 이륜차","위험변경 / 통지의무","보험 통지의무 위반 보험금 지급","precedent","통지의무;위험변경;직업변경","보험;통지의무;위반;보험금;지급;위험변경;직업변경","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST024","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 도수치료 치료목적","precedent","실손보험;치료목적;비급여","실손보험;도수치료;치료목적;비급여","fetched","list_or_fulltext_checked","2","2","results=2 imported=2 fulltext=2 list_only=0 duplicates=0 total_limit_skipped=0"
"PST025","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","백내장 다초점렌즈 실손보험","precedent","실손보험;치료목적;비급여","백내장;다초점렌즈;실손보험;치료목적;비급여","fetched","list_or_fulltext_checked","1","1","results=1 imported=1 fulltext=1 list_only=0 duplicates=0 total_limit_skipped=0"
"PST026","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 요양병원 암 입원 직접치료","precedent","실손보험;치료목적;비급여","실손보험;요양병원;암;입원;직접치료;치료목적;비급여","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST027","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 비급여 주사 치료목적","precedent","실손보험;치료목적;비급여","실손보험;비급여;주사;치료목적","fetched","list_or_fulltext_checked","3","3","results=3 imported=3 fulltext=3 list_only=0 duplicates=0 total_limit_skipped=0"
"PST028","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 체외충격파 치료 필요성","precedent","실손보험;치료목적;비급여","실손보험;체외충격파;치료;필요성;치료목적;비급여","fetched","list_or_fulltext_checked","1","0","results=1 imported=0 fulltext=0 list_only=0 duplicates=1 total_limit_skipped=0"
"PST029","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 입원 필요성 통원 가능","precedent","실손보험;치료목적;비급여","실손보험;입원;필요성;통원;가능;치료목적;비급여","fetched","list_or_fulltext_checked","2","0","results=2 imported=0 fulltext=0 list_only=0 duplicates=2 total_limit_skipped=0"
"PST030","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 미용 목적 보상 제외","precedent","실손보험;치료목적;비급여","실손보험;미용;목적;보상;제외;치료목적;비급여","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST031","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 비급여 MRI 의학적 필요성","precedent","실손보험;치료목적;비급여","실손보험;비급여;MRI;의학적;필요성;치료목적","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST032","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 상급병실료 보상 한도","precedent","실손보험;치료목적;비급여","실손보험;상급병실료;보상;한도;치료목적;비급여","fetched","list_or_fulltext_checked","3","1","results=3 imported=1 fulltext=1 list_only=0 duplicates=2 total_limit_skipped=0"
"PST033","실손보험 / 치료목적 / 비급여","치료목적 / 비급여 / 입원 필요성","실손보험 진료비 세부내역 비급여","precedent","실손보험;치료목적;비급여","실손보험;진료비;세부내역;비급여;치료목적","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST034","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","후유장해 보험금 장해지급률","precedent","후유장해;장해지급률;장해분류표","후유장해;보험금;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST035","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","추간판탈출증 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","추간판탈출증;후유장해;보험;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST036","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","무릎 동요관절 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","무릎;동요관절;후유장해;보험;장해지급률;장해분류표","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST037","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","회전근개파열 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","회전근개파열;후유장해;보험;장해지급률;장해분류표","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST038","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","척추 압박골절 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","척추;압박골절;후유장해;보험;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST039","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","안면 반흔 추상장해 보험","precedent","후유장해;장해지급률;장해분류표","안면;반흔;추상장해;보험;후유장해;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST040","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","신경계 장해 보험금 후유장해","precedent","후유장해;장해지급률;장해분류표","신경계;장해;보험금;후유장해;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST041","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","청력장해 후유장해 보험금","precedent","후유장해;장해지급률;장해분류표","청력장해;후유장해;보험금;장해지급률;장해분류표","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST042","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","관절 운동범위 제한 후유장해","precedent","후유장해;장해지급률;장해분류표","관절;운동범위;제한;후유장해;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST043","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","기왕장해 감액 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","기왕장해;감액;후유장해;보험;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST044","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","장해진단서 보험금 지급률 다툼","precedent","후유장해;장해지급률;장해분류표","장해진단서;보험금;지급률;다툼;후유장해;장해지급률;장해분류표","fetched","list_or_fulltext_checked","1","0","results=1 imported=0 fulltext=0 list_only=0 duplicates=1 total_limit_skipped=0"
"PST045","후유장해 / 장해지급률","장해분류표 / 지급률 / 기왕장해","복합부위통증증후군 후유장해 보험","precedent","후유장해;장해지급률;장해분류표","복합부위통증증후군;후유장해;보험;장해지급률;장해분류표","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST046","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","약관 설명의무 보험금 지급제한","precedent","약관해석;설명의무;지급제한","약관;설명의무;보험금;지급제한;약관해석","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST047","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험약관 고객에게 유리하게 해석","precedent","약관해석;설명의무;지급제한","보험약관;고객에게;유리하게;해석;약관해석;설명의무;지급제한","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST048","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험 약관 작성자 불이익 원칙","precedent","약관해석;설명의무;지급제한","보험;약관;작성자;불이익;원칙;약관해석;설명의무;지급제한","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST049","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험자 약관 명시 설명의무","precedent","약관해석;설명의무;지급제한","보험자;약관;명시;설명의무;약관해석;지급제한","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST050","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","중요한 약관 내용 설명의무 보험","precedent","약관해석;설명의무;지급제한","중요한;약관;내용;설명의무;보험;약관해석;지급제한","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST051","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험 약관 면책조항 설명의무","precedent","약관해석;설명의무;지급제한","보험;약관;면책조항;설명의무;약관해석;지급제한","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST052","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험금 지급제한 약관 설명의무","precedent","약관해석;설명의무;지급제한","보험금;지급제한;약관;설명의무;약관해석","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST053","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험약관 해석 객관적 획일적 해석","precedent","약관해석;설명의무;지급제한","보험약관;해석;객관적;획일적;약관해석;설명의무;지급제한","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST054","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험 약관 불명확 고객 유리","precedent","약관해석;설명의무;지급제한","보험;약관;불명확;고객;유리;약관해석;설명의무;지급제한","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=4 list_only=1 duplicates=0 total_limit_skipped=0"
"PST055","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험 모집인 설명의무 약관","precedent","약관해석;설명의무;지급제한","보험;모집인;설명의무;약관;약관해석;지급제한","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST056","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험약관 교부 설명의무 위반","precedent","약관해석;설명의무;지급제한","보험약관;교부;설명의무;위반;약관해석;지급제한","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST057","약관해석 / 설명의무","약관 설명 / 작성자 불이익 / 지급제한","보험계약 약관해석 보험금","precedent","약관해석;설명의무;지급제한","보험계약;약관해석;보험금;설명의무;지급제한","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST058","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","보험 자살 면책 사망보험금","precedent","면책약관;고의;자살;범죄행위","보험;자살;면책;사망보험금;면책약관;고의;범죄행위","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST059","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","보험 고의 사고 면책 입증책임","precedent","면책약관;고의;자살;범죄행위","보험;고의;사고;면책;입증책임;면책약관;자살;범죄행위","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST060","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","상해보험 고의 면책 보험금","precedent","면책약관;고의;자살;범죄행위","상해보험;고의;면책;보험금;면책약관;자살;범죄행위","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST061","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","보험 범죄행위 면책 약관","precedent","면책약관;고의;자살;범죄행위","보험;범죄행위;면책;약관;면책약관;고의;자살","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST062","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","음주운전 보험 면책 약관","precedent","면책약관;고의;자살;범죄행위","음주운전;보험;면책;약관;면책약관;고의;자살;범죄행위","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST063","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","보험 자살 면책기간 일반사망","precedent","면책약관;고의;자살;범죄행위","보험;자살;면책기간;일반사망;면책약관;고의;범죄행위","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST064","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","보험 면책사유 입증책임","precedent","면책약관;고의;자살;범죄행위","보험;면책사유;입증책임;면책약관;고의;자살;범죄행위","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=1 list_only=1 duplicates=3 total_limit_skipped=0"
"PST065","면책약관 / 고의 / 자살 / 범죄행위","면책사유 / 입증책임","상해보험 우연한 사고 고의 면책","precedent","면책약관;고의;자살;범죄행위","상해보험;우연한;사고;고의;면책;면책약관;자살;범죄행위","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST066","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","기왕증 기여도 보험금 감액","precedent","기왕증;인과관계;상해성","기왕증;기여도;보험금;감액;인과관계;상해성","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST067","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","추간판탈출증 상해성 보험","precedent","기왕증;인과관계;상해성","추간판탈출증;상해성;보험;기왕증;인과관계","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST068","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","회전근개파열 퇴행성 상해 보험","precedent","기왕증;인과관계;상해성","회전근개파열;퇴행성;상해;보험;기왕증;인과관계;상해성","fetched","list_or_fulltext_checked","2","2","results=2 imported=2 fulltext=2 list_only=0 duplicates=0 total_limit_skipped=0"
"PST069","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","교통사고 기왕증 악화 보험금","precedent","기왕증;인과관계;상해성","교통사고;기왕증;악화;보험금;인과관계;상해성","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST070","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","골다공증 압박골절 상해 보험","precedent","기왕증;인과관계;상해성","골다공증;압박골절;상해;보험;기왕증;인과관계;상해성","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST071","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","사고와 사망 인과관계 상해보험","precedent","기왕증;인과관계;상해성","사고와;사망;인과관계;상해보험;기왕증;상해성","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST072","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","퇴행성 변화 사고 기여도 보험","precedent","기왕증;인과관계;상해성","퇴행성;변화;사고;기여도;보험;기왕증;인과관계;상해성","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST073","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","외상성 뇌출혈 질병성 뇌출혈 보험","precedent","기왕증;인과관계;상해성","외상성;뇌출혈;질병성;보험;기왕증;인과관계;상해성","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST074","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","상해보험 외래 사고 질병 인과관계","precedent","기왕증;인과관계;상해성","상해보험;외래;사고;질병;인과관계;기왕증;상해성","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
"PST075","기왕증 / 인과관계 / 상해성","상해성 / 기여도 / 인과관계","무릎 연골파열 퇴행성 상해성 보험","precedent","기왕증;인과관계;상해성","무릎;연골파열;퇴행성;상해성;보험;기왕증;인과관계","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST076","의료자문 / 보험금 삭감 / 조사동의","의료자문 / 조사 / 삭감","보험 의료자문 보험금 삭감","precedent","의료자문;보험금 삭감;조사동의","보험;의료자문;보험금;삭감;보험금 삭감;조사동의","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST077","의료자문 / 보험금 삭감 / 조사동의","의료자문 / 조사 / 삭감","보험사 의료자문 동의 보험금","precedent","의료자문;보험금 삭감;조사동의","보험사;의료자문;동의;보험금;보험금 삭감;조사동의","fetched","list_or_fulltext_checked","2","0","results=2 imported=0 fulltext=0 list_only=0 duplicates=2 total_limit_skipped=0"
"PST078","의료자문 / 보험금 삭감 / 조사동의","의료자문 / 조사 / 삭감","보험금 지급 심사 의료자문","precedent","의료자문;보험금 삭감;조사동의","보험금;지급;심사;의료자문;보험금 삭감;조사동의","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
"PST079","의료자문 / 보험금 삭감 / 조사동의","의료자문 / 조사 / 삭감","손해사정 의료자문 보험금 감액","precedent","의료자문;보험금 삭감;조사동의","손해사정;의료자문;보험금;감액;보험금 삭감;조사동의","no_results","target_only","0","0","results=0 imported=0 fulltext=0 list_only=0 duplicates=0 total_limit_skipped=0"
"PST080","의료자문 / 보험금 삭감 / 조사동의","의료자문 / 조사 / 삭감","보험 조사동의 의료자문 분쟁","precedent","의료자문;보험금 삭감;조사동의","보험;조사동의;의료자문;분쟁;보험금 삭감","fetched","list_or_fulltext_checked","5","2","results=5 imported=2 fulltext=2 list_only=0 duplicates=3 total_limit_skipped=0"
